학교명,지역,학교급구분,학생수,위기확률,학교코드,위험증가_1위_피처,위험증가_1위_기여도,위험증가_2위_피처,위험증가_2위_기여도,위험증가_3위_피처,위험증가_3위_기여도,위험감소_1위_피처,위험감소_1위_기여도,위험감소_2위_피처,위험감소_2위_기여도,위험감소_3위_피처,위험감소_3위_기여도
용안초등학교,전북특별자치도 익산시,초등학교,12,0.7500495,S130001177,최근접 학교 거리,0.182493,학생수,0.101095,학생수 변화율,0.011982,학생수 변화율 3년 표준편차,-0.023029,최근 3년 학급수 감소량,-0.008147,교원 1인당 학생수,-0.001136
대사초등학교,부산광역시 강서구,초등학교,13,0.73903894,S020001246,최근접 학교 거리,0.176925,학생수,0.103884,학생수 변화율,0.021367,학생수 변화율 3년 표준편차,-0.005623,교원 1인당 학생수,-0.005259,최근 3년 학급수 감소량,0.017272
용북초등학교,전북특별자치도 익산시,초등학교,7,0.7379954,S130001174,최근접 학교 거리,0.183398,학생수,0.094923,최근 3년 학급수 감소량,0.0138,교원 1인당 학생수,-0.013321,학생수 변화율,-0.013223,학급당 학생수,0.005282
유천초등학교,경상북도 청도군,초등학교,14,0.72933877,S150003326,최근접 학교 거리,0.184996,학생수,0.109195,학생수 변화율 3년 표준편차,0.015665,교원 1인당 학생수,-0.005133,학생수 변화율,0.003788,최근 3년 학급수 감소량,0.003885
상남초등학교,경상남도 밀양시,초등학교,16,0.7249464,S160001519,최근접 학교 거리,0.183376,학생수,0.101631,학생수 변화율 3년 표준편차,0.016722,학생수 변화율,-0.017703,학급당 학생수,-0.00801,교원 1인당 학생수,-0.006727
남포초등학교,경상남도 통영시,초등학교,14,0.72131735,S160002485,최근접 학교 거리,0.195159,학생수,0.112229,학생수 변화율,0.011072,교원 1인당 학생수,-0.007701,학급당 학생수,-0.00484,최근 3년 학급수 감소량,0.006111
금서초등학교,경상남도 산청군,초등학교,13,0.7163144,S160001698,최근접 학교 거리,0.180207,학생수,0.097781,학생수 변화율 3년 표준편차,0.026708,교원 1인당 학생수,0.006692,학급당 학생수,0.008369,최근 3년 학급수 감소량,0.008721
광주중앙초등학교,광주광역시 동구,초등학교,22,0.7160205,S050000233,최근접 학교 거리,0.184453,학생수,0.072345,학생수 변화율 3년 표준편차,0.033894,최근 3년 학급수 감소량,-0.007367,학급당 학생수,-0.006885,교원 1인당 학생수,0.001665
왕궁남초등학교,전북특별자치도 익산시,초등학교,10,0.7129026,S130001170,최근접 학교 거리,0.181173,학생수,0.096634,학급당 학생수,0.007522,학생수 변화율 3년 표준편차,-0.021682,학생수 변화율,-0.003768,최근 3년 학급수 감소량,-0.001459
다송초등학교,전북특별자치도 익산시,초등학교,13,0.70790666,S130001154,최근접 학교 거리,0.180215,학생수,0.091904,학생수 변화율,0.018251,학급당 학생수,-0.011838,교원 1인당 학생수,-0.005518,학생수 변화율 3년 표준편차,0.014698
