학교명,시도교육청,지역,학교급구분,본교분교구분,학생수,학급수,총세출금액,학생수_변화율,지역학령인구 변화율,인구감소지역 지정여부,위기확률,고위험여부,위도,경도
용안초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,12,6,433851790,-29.411764705882348,-6.55,0.0,0.7500495,1,36.12068685,126.954445
대사초등학교,부산광역시교육청,부산광역시 강서구,초등학교,본교,13,7,513301270,-31.57894736842105,0.05,0.0,0.73903894,1,35.22041811,128.9385487
용북초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,7,2,412902110,-12.5,-6.55,0.0,0.7379954,1,36.13432786,126.9477189
유천초등학교,경상북도교육청,경상북도 청도군,초등학교,본교,14,4,486775420,55.55555555555556,-9.59,1.0,0.72933877,1,36.63691112,128.3785308
상남초등학교,경상남도교육청,경상남도 밀양시,초등학교,본교,16,4,732176540,0.0,-7.69,1.0,0.7249464,1,35.21277759,128.5772354
남포초등학교,경상남도교육청,경상남도 통영시,초등학교,본교,14,4,734907490,-33.333333333333336,-11.01,0.0,0.72131735,1,34.82440195,128.4324231
금서초등학교,경상남도교육청,경상남도 산청군,초등학교,본교,13,6,580147613,44.44444444444444,-12.29,1.0,0.7163144,1,35.46113892,127.7919302
광주중앙초등학교,광주광역시교육청,광주광역시 동구,초등학교,본교,22,6,598130395,-33.333333333333336,-3.08,0.0,0.7160205,1,35.15092881,126.918641
왕궁남초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,10,7,440944750,-16.666666666666664,-6.55,0.0,0.7129026,1,35.92708238,127.0755188
다송초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,13,2,311314550,-27.77777777777778,-6.55,0.0,0.70790666,1,36.04144728,126.9550746
의성북부초등학교,경상북도교육청,경상북도 의성군,초등학교,본교,13,4,484517140,-7.14285714285714,-7.67,1.0,0.7069245,1,36.36195518,128.6925139
용흥초등학교,경상북도교육청,경상북도 문경시,초등학교,본교,18,5,1049464724,-21.73913043478261,-7.46,1.0,0.706308,1,36.03913743,129.3488775
모담초등학교,경기도교육청,경기도 김포시,초등학교,본교,47,6,0,0.0,-6.22,0.0,0.6999153,1,37.65623241,126.6747061
남정초등학교,경상남도교육청,경상남도 합천군,초등학교,본교,31,7,935131780,-26.190476190476183,-11.08,1.0,0.6994179,1,35.21084962,128.6921158
대산초등학교,경상남도교육청,경상남도 함안군,초등학교,본교,22,7,862762830,0.0,-12.05,1.0,0.694389,1,35.34028326,128.7095142
창녕성산초등학교,경상남도교육청,경상남도 창녕군,초등학교,본교,18,5,714823210,-33.333333333333336,-8.65,1.0,0.6932158,1,35.62384866,128.4780781
도산초등학교,경상남도교육청,경상남도 산청군,초등학교,본교,19,6,905421090,-17.391304347826086,-12.29,1.0,0.69027674,1,35.3354132,127.9997368
원당초등학교,강원특별자치도교육청,강원특별자치도 홍천군,초등학교,본교,16,4,463418540,-23.809523809523814,-3.77,1.0,0.6858784,1,37.82063244,128.414524
대동초등학교,경상북도교육청,경상북도 성주군,초등학교,본교,19,6,639114840,5.555555555555558,-12.06,1.0,0.6814627,1,35.85825821,128.3579618
송진초등학교,경상남도교육청,경상남도 밀양시,초등학교,본교,20,5,885749720,-20.0,-7.69,1.0,0.6793643,1,35.39488596,128.8363389
대저초등학교,부산광역시교육청,부산광역시 강서구,초등학교,본교,31,6,534461000,-32.608695652173914,0.05,0.0,0.67875785,1,35.21610222,128.9553077
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,695677860,-4.545454545454541,-6.35,0.0,0.67629886,1,38.15606601,127.2497002
아미초등학교,부산광역시교육청,부산광역시 서구,초등학교,본교,32,7,896440580,0.0,-6.36,1.0,0.6716303,1,35.09877555,129.0155836
봉삼초등학교,부산광역시교육청,부산광역시 영도구,초등학교,본교,32,7,922928765,-17.948717948717952,-8.77,1.0,0.6683177,1,35.07478658,129.0636181
산북초등학교,경기도교육청,경기도 양주시,초등학교,본교,31,7,867012590,-35.416666666666664,-1.78,0.0,0.66355324,1,37.80608755,127.0391829
