학교명,지역,학교급구분,학생수,학생수_변화율,지역학령인구 변화율,위기확률,군집,군집명
용안초등학교,전북특별자치도 익산시,초등학교,12,-29.411764705882348,-6.55,0.7500495,2,구·원도심형
대사초등학교,부산광역시 강서구,초등학교,13,-31.57894736842105,0.05,0.73903894,2,구·원도심형
용북초등학교,전북특별자치도 익산시,초등학교,7,-12.5,-6.55,0.7379954,2,구·원도심형
유천초등학교,경상북도 청도군,초등학교,14,55.55555555555556,-9.59,0.72933877,4,농어촌형
상남초등학교,경상남도 밀양시,초등학교,16,0.0,-7.69,0.7249464,1,도시쇠퇴형
남포초등학교,경상남도 통영시,초등학교,14,-33.333333333333336,-11.01,0.72131735,1,도시쇠퇴형
금서초등학교,경상남도 산청군,초등학교,13,44.44444444444444,-12.29,0.7163144,4,농어촌형
광주중앙초등학교,광주광역시 동구,초등학교,22,-33.333333333333336,-3.08,0.7160205,2,구·원도심형
왕궁남초등학교,전북특별자치도 익산시,초등학교,10,-16.666666666666664,-6.55,0.7129026,2,구·원도심형
다송초등학교,전북특별자치도 익산시,초등학교,13,-27.77777777777778,-6.55,0.70790666,2,구·원도심형
의성북부초등학교,경상북도 의성군,초등학교,13,-7.14285714285714,-7.67,0.7069245,2,구·원도심형
용흥초등학교,경상북도 문경시,초등학교,18,-21.73913043478261,-7.46,0.706308,1,도시쇠퇴형
모담초등학교,경기도 김포시,초등학교,47,0.0,-6.22,0.6999153,5,기타형
남정초등학교,경상남도 합천군,초등학교,31,-26.190476190476183,-11.08,0.6994179,1,도시쇠퇴형
대산초등학교,경상남도 함안군,초등학교,22,0.0,-12.05,0.694389,1,도시쇠퇴형
창녕성산초등학교,경상남도 창녕군,초등학교,18,-33.333333333333336,-8.65,0.6932158,1,도시쇠퇴형
도산초등학교,경상남도 산청군,초등학교,19,-17.391304347826086,-12.29,0.69027674,1,도시쇠퇴형
원당초등학교,강원특별자치도 홍천군,초등학교,16,-23.809523809523814,-3.77,0.6858784,2,구·원도심형
대동초등학교,경상북도 성주군,초등학교,19,5.555555555555558,-12.06,0.6814627,1,도시쇠퇴형
송진초등학교,경상남도 밀양시,초등학교,20,-20.0,-7.69,0.6793643,1,도시쇠퇴형
대저초등학교,부산광역시 강서구,초등학교,31,-32.608695652173914,0.05,0.67875785,2,구·원도심형
관인초등학교,경기도 포천시,초등학교,21,-4.545454545454541,-6.35,0.67629886,3,인구급감형
아미초등학교,부산광역시 서구,초등학교,32,0.0,-6.36,0.6716303,3,인구급감형
봉삼초등학교,부산광역시 영도구,초등학교,32,-17.948717948717952,-8.77,0.6683177,3,인구급감형
산북초등학교,경기도 양주시,초등학교,31,-35.416666666666664,-1.78,0.66355324,3,인구급감형
동광초등학교,경상남도 고성군,초등학교,11,-52.17391304347826,-12.29,0.65082747,0,고립·도서형
연천왕산초등학교,경기도 연천군,초등학교,32,0.0,-5.26,0.648547,3,인구급감형
삼성초등학교,강원특별자치도 태백시,초등학교,7,-50.0,-9.15,0.6474465,0,고립·도서형
반곡초등학교,강원특별자치도 홍천군,초등학교,16,6.666666666666665,-3.77,0.63722515,0,고립·도서형
비룡초등학교,전북특별자치도 김제시,초등학교,9,-40.0,-5.75,0.6323201,0,고립·도서형
치문초등학교,전북특별자치도 김제시,초등학교,20,-20.0,-5.75,0.6268333,0,고립·도서형
행주초등학교,경기도 고양시 덕양구,초등학교,37,32.14285714285714,-6.28,0.62371504,3,인구급감형
여수봉산초등학교,전라남도 여수시,초등학교,23,4.545454545454541,-7.32,0.6233241,3,인구급감형
신기초등학교,경상북도 문경시,초등학교,28,-20.0,-7.46,0.6229372,3,인구급감형
유천초등학교,경상북도 예천군,초등학교,28,-31.707317073170728,-5.38,0.62138534,3,인구급감형
