학교명,시도교육청,지역,학교급구분,본교분교구분,위기확률,현재_학생수,현재_연간운영비,현재_1인당운영비,적용_평균변화율,위도,경도,5년후_예측학생수,5년후_1인당운영비,5년후_운영비효율배율,10년후_예측학생수,10년후_1인당운영비,10년후_운영비효율배율,2020년_연간운영비,2021년_연간운영비,2022년_연간운영비,2023년_연간운영비,2024년_연간운영비,2025년_연간운영비
용안초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,0.7500495,12,433851790.0,36154316.0,-29.411764705882348,36.12068685,126.954445,2.1,206596090.0,5.71,0.4,1084629475.0,30.0,524849120.0,479407550.0,393949060.0,382974300.0,377814940.0,433851790.0
대사초등학교,부산광역시교육청,부산광역시 강서구,초등학교,본교,0.73903894,13,513301270.0,39484713.0,-31.57894736842105,35.22041811,128.9385487,1.9,270158563.0,6.84,0.3,1711004233.0,43.33,751788210.0,836555900.0,1211639900.0,736306910.0,796909561.0,513301270.0
용북초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,0.7379954,7,412902110.0,58986016.0,-12.5,36.13432786,126.9477189,3.6,114695031.0,1.94,1.8,229390061.0,3.89,375739180.0,462091380.0,393874480.0,409122480.0,363174330.0,412902110.0
유천초등학교,경상북도교육청,경상북도 청도군,초등학교,본교,0.72933877,14,2516056414.0,179718315.0,-3.262,36.63691112,128.3785308,11.9,211433312.0,1.18,10.0,251605641.0,1.4,514515714.0,526514892.0,2249615100.0,2121751780.0,767435570.0,486775420.0
상남초등학교,경상남도교육청,경상남도 밀양시,초등학교,본교,0.7249464,16,689614010.0,43100876.0,0.0,35.21277759,128.5772354,16.0,43100876.0,1.0,16.0,43100876.0,1.0,522703550.0,448632310.0,564381960.0,688884037.0,780283010.0,732176540.0
남포초등학교,경상남도교육청,경상남도 통영시,초등학교,본교,0.72131735,14,668990700.0,47785050.0,-33.333333333333336,34.82440195,128.4324231,1.8,371661500.0,7.78,0.2,3344953500.0,70.0,735320890.0,660289050.0,702085710.0,837521255.0,734836390.0,734907490.0
금서초등학교,경상남도교육청,경상남도 산청군,초등학교,본교,0.7163144,13,580147613.0,44626739.0,-4.678,35.46113892,127.7919302,10.2,56877217.0,1.27,8.1,71623162.0,1.6,571241660.0,565928140.0,568034483.0,608040510.0,590993097.0,580147613.0
광주중앙초등학교,광주광역시교육청,광주광역시 동구,초등학교,본교,0.7160205,22,598130395.0,27187745.0,-33.333333333333336,35.15092881,126.918641,2.9,206251860.0,7.59,0.4,1495325988.0,55.0,555460782.0,550643921.0,546850793.0,1964201026.0,473183403.0,598130395.0
왕궁남초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,0.7129026,10,440944750.0,44094475.0,-16.666666666666664,35.92708238,127.0755188,4.0,110236188.0,2.5,1.6,275590469.0,6.25,428741940.0,355240830.0,487206720.0,390033590.0,310461010.0,440944750.0
다송초등학교,전북특별자치도교육청,전북특별자치도 익산시,초등학교,본교,0.70790666,13,1066275240.0,82021172.0,-27.77777777777778,36.04144728,126.9550746,2.6,410105862.0,5.0,0.5,2132550480.0,26.0,488308800.0,1638927260.0,416572140.0,1708975080.0,1776728160.0,311314550.0
의성북부초등학교,경상북도교육청,경상북도 의성군,초등학교,본교,0.7069245,13,484517140.0,37270549.0,-7.14285714285714,36.36195518,128.6925139,9.0,53835238.0,1.44,6.2,78147926.0,2.1,448416520.0,429271670.0,760431180.0,1064454530.0,563821640.0,484517140.0
용흥초등학교,경상북도교육청,경상북도 문경시,초등학교,본교,0.706308,18,1049464724.0,58303596.0,-21.73913043478261,36.03913743,129.3488775,5.3,198012212.0,3.4,1.6,655915452.0,11.25,832806410.0,1444927851.0,824669130.0,1315669970.0,671867210.0,1175267021.0
모담초등학교,경기도교육청,경기도 김포시,초등학교,본교,0.6999153,47,,,0.0,37.65623241,126.6747061,47.0,,,47.0,,,,,,,,
남정초등학교,경상남도교육청,경상남도 합천군,초등학교,본교,0.6994179,31,769424139.0,24820134.0,-26.190476190476183,35.21084962,128.6921158,6.8,113150609.0,4.56,1.5,512949426.0,20.67,807206420.0,532495770.0,784095250.0,858905480.0,898881770.0,935131780.0
대산초등학교,경상남도교육청,경상남도 함안군,초등학교,본교,0.694389,22,1364706583.0,62032117.0,0.0,35.34028326,128.7095142,22.0,62032117.0,1.0,22.0,62032117.0,1.0,831276720.0,338422460.0,383826570.0,1046986395.0,456310680.0,862762830.0
창녕성산초등학교,경상남도교육청,경상남도 창녕군,초등학교,본교,0.6932158,18,714823210.0,39712401.0,-33.333333333333336,35.62384866,128.4780781,2.4,297843004.0,7.5,0.3,2382744033.0,60.0,570221720.0,467850860.0,658105180.0,746412960.0,747997310.0,714823210.0
도산초등학교,경상남도교육청,경상남도 산청군,초등학교,본교,0.69027674,19,801858270.0,42203067.0,-17.391304347826086,35.3354132,127.9997368,7.3,109843599.0,2.6,2.8,286377954.0,6.79,800713360.0,768267150.0,1321116890.0,818068790.0,1000374580.0,1047320580.0
원당초등학교,강원특별자치도교육청,강원특별자치도 홍천군,초등학교,본교,0.6858784,16,1513838310.0,94614894.0,-23.809523809523814,37.82063244,128.414524,4.1,369228856.0,3.9,1.1,1376216645.0,14.55,2824443540.0,1903162280.0,2016625500.0,574978000.0,587581500.0,2794364400.0
대동초등학교,경상북도교육청,경상북도 성주군,초등학교,본교,0.6814627,19,842516800.0,44342989.0,-3.254,35.85825821,128.3579618,16.1,52330236.0,1.18,13.6,61949765.0,1.4,914269650.0,702978600.0,870270699.0,904984091.0,819778654.0,784965140.0
송진초등학교,경상남도교육청,경상남도 밀양시,초등학교,본교,0.6793643,20,885749720.0,44287486.0,-20.0,35.39488596,128.8363389,6.6,134204503.0,3.03,2.1,421785581.0,9.52,784044670.0,651925290.0,710664470.0,678637000.0,1352647840.0,885749720.0
대저초등학교,부산광역시교육청,부산광역시 강서구,초등학교,본교,0.67875785,31,534461000.0,17240677.0,-32.608695652173914,35.21610222,128.9553077,4.3,124293256.0,7.21,0.6,890768333.0,51.67,701610500.0,751180420.0,725532150.0,848155420.0,799218970.0,534461000.0
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,0.67629886,21,695677860.0,33127517.0,-4.545454545454541,38.15606601,127.2497002,16.6,41908305.0,1.27,13.2,52702868.0,1.59,913889020.0,1132247770.0,680895000.0,613690630.0,663957700.0,695677860.0
아미초등학교,부산광역시교육청,부산광역시 서구,초등학교,본교,0.6716303,32,896440580.0,28013768.0,0.0,35.09877555,129.0155836,32.0,28013768.0,1.0,32.0,28013768.0,1.0,4055769750.0,1196520168.0,2531291070.0,1159685730.0,1234118581.0,3164117690.0
봉삼초등학교,부산광역시교육청,부산광역시 영도구,초등학교,본교,0.6683177,32,922928765.0,28841524.0,-17.948717948717952,35.07478658,129.0636181,11.9,77557039.0,2.69,4.4,209756537.0,7.27,957251835.0,894784490.0,889803590.0,958259620.0,1042461950.0,922928765.0
산북초등학교,경기도교육청,경기도 양주시,초등학교,본교,0.66355324,31,867012590.0,27968148.0,-35.416666666666664,37.80608755,127.0391829,3.5,247717883.0,8.86,0.4,2167531475.0,77.5,883277816.0,1680186770.0,1123053313.0,843953140.0,1197518180.0,1073263980.0
동광초등학교,경상남도교육청,경상남도 고성군,초등학교,본교,0.65082747,11,832283800.0,75662164.0,-52.17391304347826,35.00877915,128.4005598,0.3,2774279333.0,36.67,0.0,,,4516030310.0,1455663012.0,1597969955.0,728199590.0,2189814900.0,3653093120.0
연천왕산초등학교,경기도교육청,경기도 연천군,초등학교,본교,0.648547,32,1277710680.0,39928459.0,0.0,38.05625632,127.0110148,32.0,39928459.0,1.0,32.0,39928459.0,1.0,1172876580.0,1142768040.0,1185662340.0,1073110480.0,1365068510.0,1277710680.0
삼성초등학교,강원특별자치도교육청,강원특별자치도 태백시,초등학교,본교,0.6474465,7,684144770.0,97734967.0,-50.0,37.09757635,129.0235889,0.2,3420723850.0,35.0,0.0,,,4115368530.0,2363046810.0,861003870.0,647271440.0,1144968650.0,2882346150.0
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,초등학교,본교,0.63722515,16,800883600.0,50055225.0,-4.12,37.33734175,127.9730349,13.0,61606431.0,1.23,10.5,76274629.0,1.52,908739440.0,781800910.0,727978520.0,2244813110.0,655453840.0,960916970.0
비룡초등학교,전북특별자치도교육청,전북특별자치도 김제시,초등학교,본교,0.6323201,9,3387693530.0,376410392.0,-40.0,35.84412437,126.9898157,0.7,4839562186.0,12.86,0.1,33876935300.0,90.0,456963020.0,2880114619.0,386062600.0,3325171560.0,3965257640.0,449749360.0
치문초등학교,전북특별자치도교육청,전북특별자치도 김제시,초등학교,본교,0.6268333,20,600391040.0,30019552.0,-20.0,35.90638956,126.9362332,6.6,90968339.0,3.03,2.1,285900495.0,9.52,402854240.0,401113180.0,502382270.0,427323220.0,316763180.0,600391040.0
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,0.62371504,37,937611420.0,25340849.0,-2.06,37.6034034,126.8243428,33.3,28156499.0,1.11,30.0,31253714.0,1.23,1149422840.0,1067209060.0,896585100.0,893628440.0,1110576210.0,937611420.0
여수봉산초등학교,전라남도교육청,전라남도 여수시,초등학교,본교,0.6233241,23,800255460.0,34793716.0,-2.696,34.73549535,127.7272231,20.1,39813704.0,1.14,17.5,45728883.0,1.31,545758320.0,506744390.0,486096840.0,857755840.0,628913650.0,800255460.0
신기초등학교,경상북도교육청,경상북도 문경시,초등학교,본교,0.6229372,28,2055958390.0,73427085.0,-20.0,36.64004812,128.168488,9.2,223473738.0,3.04,3.0,685319463.0,9.33,1513616140.0,691264130.0,811365140.0,845465570.0,867088509.0,1541972320.0
유천초등학교,경상북도교육청,경상북도 예천군,초등학교,본교,0.62138534,28,2516056414.0,89859158.0,-31.707317073170728,36.63691112,128.3785308,4.2,599061051.0,6.67,0.6,4193427357.0,46.67,514515714.0,526514892.0,2249615100.0,2121751780.0,767435570.0,486775420.0
