고위험학교명,고위험_시도교육청,고위험_지역,고위험_학교급,고위험_본교분교,고위험_학생수,고위험_학급수,고위험_위기확률,고위험_위도,고위험_경도,고위험_현재_학급당학생수,고위험_현재_교원1인당,고위험_현재_1인당운영비,후보순위,후보학교명,후보학교급,후보_위도,후보_경도,직선거리_km,도로거리_km,소요시간_분,중심지_현재학교_km,중심지_현재학교_분,중심지_후보학교_km,중심지_후보학교_분,통학거리_변화_km,통학시간_변화_분,폐교시_절감비용,고정비잔존_추정,후보교_추가비용_추정,순절감액_추정,후보_연간운영비,스쿨존_CCTV수,스쿨존_도로폭,버스접근성,버스정류장수,최근접버스_km,후보_현재학생수,후보_학급수,후보_교사수,통폐합후_예상학생수,통폐합후_학급당학생수,통폐합후_교원1인당,수용가능성,통합전_1인당운영비,통합후_1인당운영비,종합점수
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,1,용정초등학교,초등학교,38.16317002,127.241457,1.069,2.257,2.3,3.843,3.7,4.221,3.9,0.378,0.2,695677860.0,208703358.0,695677857.0,-208703355.0,797662170.0,0,0.0,양호,5,0.132,89,6,9,110,18.3,12.2,양호,8962496.0,13575818.0,0.6461
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,2,오덕초등학교,초등학교,38.22299855,127.2321739,7.599,10.141,10.9,3.843,3.7,12.105,12.5,8.262,8.8,695677860.0,208703358.0,695677857.0,-208703355.0,613941730.0,0,6.0,양호,7,0.101,24,6,7,45,7.5,6.4,양호,25580905.0,29102657.0,0.554
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,3,문혜초등학교,초등학교,38.18684432,127.3180704,6.887,9.244,10.7,3.843,3.7,13.087,14.4,9.244,10.7,695677860.0,208703358.0,695677857.0,-208703355.0,780778440.0,0,6.0,양호,12,0.097,35,7,9,56,8.0,6.2,양호,22307955.0,26365291.0,0.5435
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,4,장흥초등학교,초등학교,38.19337131,127.2668579,4.411,6.122,8.1,3.843,3.7,9.965,11.8,6.122,8.1,695677860.0,208703358.0,695677857.0,-208703355.0,2361562670.0,1,7.0,양호,10,0.161,633,34,44,654,19.2,14.9,보통,3730747.0,4674680.0,0.4963
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,5,동송초등학교,초등학교,38.20391455,127.216704,6.052,7.902,8.2,3.843,3.7,9.866,9.8,6.023,6.1,695677860.0,208703358.0,695677857.0,-208703355.0,1966596750.0,1,6.0,양호,15,0.336,533,29,37,554,19.1,15.0,보통,3689675.0,4805550.0,0.478
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,6,내대초등학교,초등학교,38.20592384,127.2974687,6.94,11.087,14.3,3.843,3.7,14.93,18.0,11.087,14.3,695677860.0,208703358.0,695677857.0,-208703355.0,629384650.0,1,6.0,양호,6,0.213,39,6,7,60,10.0,8.6,양호,16138068.0,22084375.0,0.4662
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,7,철원초등학교,초등학교,38.21350087,127.2111787,7.22,8.837,8.9,3.843,3.7,10.801,10.5,6.958,6.8,695677860.0,208703358.0,695677857.0,-208703355.0,1009251800.0,1,6.0,양호,17,0.311,104,7,8,125,17.9,15.6,보통,9704344.0,13639437.0,0.4553
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,8,영북초등학교,초등학교,38.08986492,127.2758792,7.709,9.691,11.4,3.843,3.7,11.511,12.9,7.668,9.2,695677860.0,208703358.0,695677857.0,-208703355.0,2480117170.0,1,7.0,양호,8,0.081,280,14,18,301,21.5,16.7,보통,8857561.0,10550814.0,0.4145
관인초등학교,경기도교육청,경기도 포천시,초등학교,본교,21,5,0.67629886,38.15606601,127.2497002,4.2,2.3,33127517.0,9,신철원초등학교,초등학교,38.14752189,127.3055544,4.976,14.194,15.3,3.843,3.7,16.015,16.8,12.172,13.1,695677860.0,208703358.0,695677857.0,-208703355.0,1887887360.0,1,6.0,양호,16,0.183,359,20,26,380,19.0,14.6,보통,5258739.0,6798856.0,0.2857
광주중앙초등학교,광주광역시교육청,광주광역시 동구,초등학교,본교,22,6,0.7160205,35.15092881,126.918641,3.7,2.4,27187745.0,1,금당초등학교,초등학교,35.12699909,126.8829765,4.195,4.889,6.6,0.646,1.3,4.556,6.1,3.91,4.8,598130395.0,179439118.0,598130390.0,-179439114.0,706563360.0,1,6.0,양호,22,0.061,25,7,9,47,6.7,5.2,양호,28262534.0,27759441.0,0.7546
