고위험학교명,고위험_시도교육청,고위험_지역,고위험_학생수,고위험_위기확률,고위험_위도,고위험_경도,고위험_운영비,고위험_1인당운영비,고위험_일반직수,고위험_시군구,후보순위,후보학교명,후보_위도,후보_경도,후보_시군구,직선거리_km,도로거리_km,소요시간_분,초등_운영비,중학교_운영비,운영비_합산,초등_일반직수,중학교_일반직수,일반직_합산,같은시군구,거리점수,운영비점수,일반직점수,시군구점수,종합점수
관인초등학교,경기도교육청,경기도 포천시,21,0.67629886,38.15606601,127.2497002,695677860.0,33127517.0,2.0,포천시,1,관인중학교,38.15804881,127.2505866,포천시,0.234,0.279,0.7,695677860.0,691737480.0,1387415340.0,2.0,1.0,3.0,True,0.0,1.0,1.0,1.0,0.6
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,1,광주충장중학교,35.15673578,126.9285933,동구,1.112,2.339,4.4,598130395.0,1345758627.0,1943889022.0,2.0,3.0,5.0,True,0.5097,0.7901,0.8333,1.0,0.7098
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,2,광주무진중학교,35.14596075,126.8997305,남구,1.806,2.392,4.0,598130395.0,1332777421.0,1930907816.0,2.0,4.0,6.0,False,0.4986,0.7848,1.0,0.0,0.6457
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,3,광주북성중학교,35.15968492,126.9032356,북구,1.706,2.092,4.2,598130395.0,905623142.0,1503753537.0,2.0,4.0,6.0,False,0.5615,0.6112,1.0,0.0,0.6274
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,4,광주서광중학교,35.13634616,126.9042624,남구,2.083,3.111,5.3,598130395.0,1474631115.0,2072761510.0,2.0,4.0,6.0,False,0.3479,0.8425,1.0,0.0,0.5998
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,5,봉선중학교,35.12901152,126.9121466,남구,2.508,3.537,6.0,598130395.0,1790829808.0,2388960203.0,2.0,4.0,6.0,False,0.2586,0.971,1.0,0.0,0.5962
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,6,운림중학교,35.13323178,126.9418973,동구,2.889,4.093,7.1,598130395.0,1004231705.0,1602362100.0,2.0,3.0,5.0,True,0.1421,0.6513,0.8333,1.0,0.528
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,7,주월중학교,35.12786826,126.9039873,남구,2.89,3.844,5.7,598130395.0,1563094943.0,2161225338.0,2.0,3.0,5.0,False,0.1943,0.8785,0.8333,0.0,0.5057
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,8,두암중학교,35.16620771,126.9351485,북구,2.267,3.953,6.1,598130395.0,1133097920.0,1731228315.0,2.0,4.0,6.0,False,0.1715,0.7037,1.0,0.0,0.4945
광주중앙초등학교,광주광역시교육청,광주광역시 동구,22,0.7160205,35.15092881,126.918641,598130395.0,27187745.0,2.0,동구,9,전남대학교사범대학부설중학교,35.1729465,126.9011018,북구,2.922,4.771,8.4,598130395.0,1862112254.0,2460242649.0,2.0,2.0,4.0,False,0.0,1.0,0.6667,0.0,0.4167
